,title,date,company,rating,salary,location,summary,requirements
1953,Data Scientist,30+ days ago,Allerin Tech Private Limited,,,"Mumbai, Maharashtra",Conduct critical data analysis and prepare data sources to be analyzed.Experience with any big data framework would be a plus.,
1954,Data Scientist- Face Recognition,30+ days ago,Eminence core solutions LLP,,,"Bengaluru, Karnataka","Must have Experience in Face Recognition, Python.Experience with Deep Learning frameworks.Experience of working with facial recognition technology.",
1955,Data Analyst,24 days ago,Affinity Group,,,"Bengaluru, Karnataka","Comfortable managing large data sets.Good Excel/data management skills.Lead and own the analysis of highly complex data sources, identifying trends and…",
1956,Machine Learning Engineer,3 days ago,ALSTOM,4,,"Bengaluru, Karnataka","Experience in data mining, Text Mining, working and creating data architectures.Design and develop data-driven analysis, models for importing of text document,…",
1957,Field Application Scientist II,12 days ago,Thermo Fisher Scientific,3.5,,"Mumbai, Maharashtra",The candidate should have a good understanding of Windows-based tools for Analysis of data - for the applications or platforms that are stated here.,
1958,Analyst - GAMMA,7 days ago,The Boston Consulting Group,4.2,,"New Delhi, Delhi","Executing client data ingestion and data quality control.The BCG GAMMA A&S team is comprised of data engineers, data scientists and business consultants who…",
1959,Software Engineer- Development (Data Engineer),30+ days ago,Mediaocean,3.5,,"Pune, Maharashtra","Work closely with stakeholders on the data supply side (e.g. application engineers) and data demand side (e.g., BI analysts, data scientists, product managers,…",
1960,Data Scientist,30+ days ago,TransAltus Management consulting Private Limited,,,"Bengaluru, Karnataka",Â€¢manipulate data and draw insights from large data sets.Â€¢Experience working with and creating data architectures.Â€¢effective decision making.,
1961,Data Scientist Intern,30+ days ago,ADCI - Karnataka,3.6,,"Bengaluru, Karnataka","Excellent communication and data presentation skills.Problem solving ability and passion for big data.Familiarity with data processing with Python, R & SQL.",
1962,Data Scientist,30+ days ago,Sulekha,3.8,,"Chennai, Tamil Nadu","A dynamic professional with 8 years of work experience in ERP.Extensive experience in implementation, customization and production support of ERP systems.",
1963,Data Analytics Internship,13 days ago,Simplify360 India Private Limited,,"₹6,500 a month","Bengaluru, Karnataka",Working on manual data analyses and data cleansing.Working on a detailed qualitative and quantitative assessment of social media data 2.,
